name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
los angeles,2023-01-16,15.5,10.5,12.6,15.5,10.5,12.6,8.7,77.8,7.87,100,37.5,rain,0,0,57.9,27.2,258.3,1007.6,63.1,13.6,60.9,5.2,3,10,2023-01-16T06:58:12,2023-01-16T17:07:39,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHHR,72295023174,KBUR,KCQT,KSMO,SE428,AT259,72295603167,KLAX,72288023152,F1624,72287493134"
los angeles,2023-01-17,15.5,6.5,11.3,15.5,6.5,11.3,2.9,58.4,0,0,0,rain,0,0,31.7,11.7,289.6,1012.9,2.7,16,85.2,7.2,4,10,2023-01-17T06:57:55,2023-01-17T17:08:36,0.86,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72288593197,72295023174,KBUR,KSMO,AT259,SE428,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-18,16,6.6,11.1,16,6.6,11.1,4.1,62.8,0,0,0,rain,0,0,14.8,9.2,269.9,1020.5,4.2,15.9,98,8.3,4,10,2023-01-18T06:57:36,2023-01-18T17:09:34,0.9,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,SE428,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-19,14.9,6.3,10.9,14.9,6.3,10.9,5.7,71.1,0.033,100,4.17,rain,0,0,14.8,9.8,278.8,1019.9,31.6,15.8,68,5.8,4,10,2023-01-19T06:57:16,2023-01-19T17:10:32,0.93,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,SE428,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-20,16.3,6.8,11.1,16.3,6.8,11.1,4.4,64,0,0,0,,0,0,14.8,10.9,277.5,1022.3,8.9,15.9,124.1,10.8,6,10,2023-01-20T06:56:54,2023-01-20T17:11:31,0.97,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,SE428,72295603167,KLAX,72288023152,F1624,72287493134"
los angeles,2023-01-21,17.2,5.6,11.1,17.2,5.6,11.1,1.6,55.6,0,0,0,,0,0,11.2,16.9,249,1024.9,0,16,83.2,7.2,4,10,2023-01-21T06:56:30,2023-01-21T17:12:30,0,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,KSMO,SE428,72295603167,72288023152,72287493134"
los angeles,2023-01-22,17.1,5.5,11,17.1,5.5,11,1.9,54.3,0,0,0,,0,0,48.1,11.2,346.1,1016.3,1.8,16,131.2,11.2,6,10,2023-01-22T06:56:04,2023-01-22T17:13:29,0.03,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-23,19,9.4,13.8,19,9.4,13.8,-6.2,26.4,0,0,0,,0,0,63,13.2,13.7,1016.7,0.8,16,147.2,12.7,6,10,2023-01-23T06:55:36,2023-01-23T17:14:28,0.07,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,SE428,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-24,18.7,6.1,12.1,18.7,6.1,12.1,0.9,49.7,0,0,0,,0,0,13,14.1,241,1024.7,0.2,16,148,12.7,6,10,2023-01-24T06:55:07,2023-01-24T17:15:27,0.1,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-25,21.7,6.7,13.5,21.7,6.7,13.5,0.7,46.2,0,0,0,,0,0,14.8,10.6,290.5,1024.7,1.1,15.9,88.2,7.4,4,10,2023-01-25T06:54:36,2023-01-25T17:16:27,0.13,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,SE428,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-26,21.1,8.6,14.3,21.1,8.6,14.3,-0.7,39.3,0,0,0,,0,0,65.6,12.7,338.8,1026.2,0.8,16,98.2,8.4,4,10,2023-01-26T06:54:03,2023-01-26T17:17:26,0.17,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,SE428,72295603167,72288023152,F1624,72287493134,CQ070"
los angeles,2023-01-27,20.3,8.1,13.4,20.3,8.1,13.4,0.9,45.4,0,0,0,,0,0,14.8,16.9,253.6,1020,0,15.9,91.5,7.7,4,10,2023-01-27T06:53:28,2023-01-27T17:18:26,0.2,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,KSMO,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-28,17.8,9.3,13.3,17.8,9.3,13.3,6.6,64.7,0,0,0,,0,0,11.2,11.1,124.9,1015.2,55.1,15.8,79.8,6.8,4,10,2023-01-28T06:52:52,2023-01-28T17:19:26,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,KSMO,SE428,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-29,14.5,10.2,12.5,14.5,10.2,12.5,6.9,69.3,1.619,100,16.67,rain,0,0,42.5,15.8,160,1013.2,90.3,15.4,32.9,2.9,2,10,2023-01-29T06:52:15,2023-01-29T17:20:25,0.27,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,SE428,72295603167,72288023152,F1624,72287493134"
